,score,comment
0,10.0,"The location is good, so it's easy to move after staying before staying
The price is fine
The staff were so kind
It's a pity that I just went to sleep because I checked in this time."
1,10.0,"The staff's response was kind, the room was clean and the water purifier was provided.
I applied for breakfast and ate it, but it has a lot of types and delicious taste."
2,10.0,"The friendly staff was a nice terrace, a clean facility, and it was the best place to be really satisfied with it!The father and the baby's medicine envelope was insane, so I mistaken it in a hotel trash bin, and the male staff went through all the garbage bags in a situation where I was busy with my original work.I would like to express my deepest gratitude for the goodwill of the male staff who helped me.Thanks to this, I was able to finish my first family trip with my baby.thank you !!"
3,10.0,"The convenience of the Premier Sweet Room was so great.Throughout the first visit, the best service and comfortable rooms have made me want to visit in the future.If you stay again in Jeju, you will book a sweet hotel and this room again."
4,10.0,"One of the 5 -star hotels in Jungmun Complex.The feeling of European sensibility boutique hotel.One of the reasons why the first floor with the terrace should go to this hotel.It is the best of the water purifier and the bidet because the teacher group acquired.If you go to Jeju next time, you will definitely use it again."
5,10.0,"From clean facilities to terrace views, I was also satisfied :) I was thrown into a hotel trash bin by mistake, but I was heartbroken because I couldn't find it again.However, the staff who knew this fact searched for all the trash can to find the baby and father's medicine bag.I would have been so busy enough for my original work, but I was really impressed with the good faith that the male staff gave me.Once again, I would like to express my deepest gratitude.thank you !"
6,10.0,"The location was good because it was Jungmun and the staff were kind.
It was a bed, but it was also good to be heated by the floor because it was floor.
I didn't ask for a humidifier and filled it with a clean humidifier.
It is a hotel because it is a place where you can use the microwave, but it was also good to heat baby food.
+ I went to the Shilla Hotel Park View evening buffet ... It was so close."
7,9.6,"Location is good and hotel condition is good
However, convenience facilities are far enough to drive out, and there is no other convenience store.
Breakfast is also a bit unfortunate for the price
Others like the hotel quiet, the pool is pretty and the staff is kind."
8,10.0,"There are many places to tour around, and there are many good places to walk and take a walk, so you can relax and sightseeing, and the items you really need are properly available."
9,10.0,"Since I entered the first floor, I was kind to the women's staff, and when I entered the room, I felt that it was luxurious and luxurious.All were clean and the bed was so soft that I was very satisfied.At night, Silla Lotte Hotel was nearby, so it was fun to look around.If you go a little car in the tourist complex, there are many restaurants in Olive Young Mart, and even if you go out, there are restaurants that are known in Jungmun.200%will be used again next time."
10,10.0,"The outdoor swimming pool is a picture, but it's close to Jungmun Beach!The nearby Olle trail is really good and the Cheonjiyeon Falls is also good."
11,10.0,"It was good to be able to stay at a 5 -star hotel at a good price at the Jungmun Tourism Complex.There were plenty of towels and amenities and it was good to clean the room cleaning while working.However, breakfast was somewhat poor for 5 stars.I stayed in Jeju City, and the food type or quality was compared with the business hotel."
12,10.0,"It was a corner concept room, which was suitable for four people.The location of the hostel was good, clean and the room service was excellent.I recommend it."
13,10.0,"There are more rooms for 3-4 people, and check-in checkouts are also a machine, but it is not difficult.It is in the Jungmun Hotel Complex, so it is good to move to the car.The fragrance in the hotel is very good and it's small, but it's good to have everything.First of all, I am very satisfied in terms of price."
14,10.0,"It's not like a hotel view, but it's clean and the staff are very friendly and soundproofing."
15,10.0,"Halla Mountain View was so good. The hotel itself is atmosphere!
In particular, the room condition is satisfactory, and when it was a lot of time, you can call you separately, so please prepare all the necessary parts."
16,9.6,"I came to Jeju Island several times and made my first visit to Jungmun, but I went to the hotel for the first time."
17,10.0,"I had a mother and three women stayed.
It's a room content that can be satisfied with a neat mother, and the bedding was comfortable.The bed is more comfortable than the double bed, so if you go with your parents if you go with your parents.I don't know if I am allocating the room, but it was quiet and the terrace was quiet."
18,10.0,"I use it again in summer
The staff are all kind!"
19,10.0,The staff were all kind and the room condition was good.
20,9.6,"Location -It's just next to the Shilla Hotel, so it's quiet and there's no restaurant or other facilities that you can walk, but if you move with a rental car, it's quiet (open until 12 o'clock in the hotel).

Room condition -It's a bit old, but it's very good to manage.There is a corridor or the next room noise, but it's not a problem here.

Breakfast -not excellent, but 26 400 won (20% discount on guests) is good for the price.

Staff -cheerful kindness.

Overall, it was a satisfactory stay."
21,10.0,"There are no hotels with rooms that can sleep with 4 people
It's the best to have a beer at night on the terrace."
22,9.6,"The bunker room was unusual, so the child really liked it.
I had a delivery food on the terrace and I had breakfast. There was a bus from the airport in front of the hotel."
23,10.0,"When I asked for a large bed, I was able to get a good night's sleep in a big bed, and most of all, the bed is so comfortable.No noise around"
